,address,latitude,link,longitude,name,price,tags,isGluten
64,286 Franklin St,42.364897,/restaurants/andala-coffee-house/,-71.105996,Andala Coffee House,$,"setTargeting('cuisine', ['cafes-coffeehouses', 'middle-eastern']);",0
65,153 Sutherland Rd,42.340702,/restaurants/andalus-pizza-cafe/,-71.1476,Andalus Pizza &amp; Cafe,$$,"setTargeting('cuisine', ['pizza', 'sandwiches', 'salads', 'desserts', 'delis']);",0
66,811 Harrison Ave,42.335825,/restaurants/andres-cafe/,-71.074148,Andre's Cafe,$$,"setTargeting('cuisine', ['greek', 'sandwiches']);",0
67,2030 Massachusetts Ave,42.390774,/restaurants/andys-diner/,-71.121964,Andy's Diner,$$,"setTargeting('cuisine', ['diners-coffee-shops', 'sandwiches']);",0
68,131 Lexington St,42.378829,/restaurants/angelas-cafe/,-71.034967,Angela's Cafe,$$$,"setTargeting('cuisine', ['mexican']);",0
69,230 Holland St,42.402443,/restaurants/angelinas-pizzeria/,-71.12699,Angelina's Pizzeria,$$,"setTargeting('cuisine', ['pizza', 'sandwiches']);",0
70,444 Broadway,42.373168,/restaurants/angelos-pizza/,-71.110805,Angelo's Pizza,$,"setTargeting('cuisine', ['pizza', 'sandwiches']);",0
71,1024 Commonwealth Ave,42.351779,/restaurants/angora-cafe/,-71.121562,Angora Cafe,$$,"setTargeting('cuisine', ['health-food', 'pizza', 'sandwiches', 'middle-eastern', 'desserts']);",0
72,3\u002DA Boylston St,42.322136,/restaurants/angora-ice/,-71.169499,Angora Ice,$,"setTargeting('cuisine', ['desserts', 'cafes-coffeehouses']);",0
73,1412 Beacon St,42.341222,/restaurants/annas-taqueria-2/,-71.125714,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
74,822 Somerville Ave,42.388054,/restaurants/annas-taqueria/,-71.118113,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
75,446 Harvard St,42.34624,/restaurants/annas-taqueria-3/,-71.12824,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
76,84 Massachusetts Ave,42.359226,/restaurants/annas-taqueria-4/,-71.094084,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
77,242 Cambridge St,42.361287,/restaurants/annas-taqueria-5/,-71.067235,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
78,236 Elm St,42.394956,/restaurants/annas-taqueria-6/,-71.121736,Anna's Taqueria,$,"setTargeting('cuisine', ['mexican']);",0
