names,links,addresses,longitude,latitude,price,type,isHealthy,new_pred,health_color
Arc,/restaurants/arc/,835 Beacon St,42.347181,-71.103034,$$$,bar-food,0,0.072,yellow
Archie's New York Deli,/restaurants/archies-new-york-deli/,101 Arch St,42.354923,-71.058756,$,"delis', 'sandwiches",1,0.846,green
Archie's Place,/restaurants/archies-place/,245 Washington St,42.35772,-71.058046,$$,"diners-coffee-shops', 'greek",0,0.182,yellow
Area Four,/restaurants/area-four/,500 Technology Sq,42.363443,-71.092379,$$$,"american-new', 'pizza', 'cafes-coffeehouses', 'bakeries",0,0.116,yellow
Aria Trattoria,/restaurants/aria-trattoria/,253 Hanover St,42.363297,-71.054943,$$$$$,italian,0,0.022,red
Ariana Restaurant,/restaurants/ariana-restaurant/,129 Brighton Ave,42.352978,-71.131314,$$$,afghan,0,0.072,yellow
Armando's Pizza,/restaurants/armandos-pizza/,163 Huron Ave,42.382223,-71.13137,$,"pizza', 'sandwiches",0,0.108,yellow
ArtBar,/restaurants/artbar/,40 Edwin Land Blvd,42.366889,-71.07485,$$$$,"american-new', 'eclectic-international', 'cocktails",0,0.064,yellow
Artisan Bistro,/restaurants/artisan-bistro/,10 Avery St,42.35315,-71.063383,$$$$,"american-new', 'bistro",0,0.228,yellow
Artu,/restaurants/artu-2/,6 Prince St,42.364226,-71.054012,$$$$,italian,0,0.034,red
Artu,/restaurants/artu/,89 Charles St,42.358757,-71.07103,$$$$,italian,0,0.052,yellow
Asahi,/restaurants/asahi/,418 Market St,42.349183,-71.153566,$$$$,"japanese', 'sushi",0,0.034,red
Asia Wok,/restaurants/asia-wok/,44 Harvard Ave,42.354497,-71.132897,$$,"chinese', 'asian-fusion",0,0.062,yellow
Asian Garden Restaurant,/restaurants/asian-garden-restaurant/,28 Harrison Ave,42.351899,-71.06122,$$,"chinese', 'noodle-shops",0,0.078,yellow
Asian House,/restaurants/asian-house/,99 Cambridge St,42.382491,-71.079354,$$$,asian-fusion,0,0.094,yellow
Asian Noodle Stix,/restaurants/asian-noodle-stix/,11 Belmont St,42.374958,-71.150695,$,chinese,0,0.012,red
Asmara,/restaurants/asmara/,739 Massachusetts Ave,42.366258,-71.105353,$$$,"ethiopian', 'african",0,0.106,yellow
Assaggio,/restaurants/assaggio/,29 Prince St,42.364636,-71.054667,$$$,italian,0,0.028,red
Asta,/restaurants/asta/,47 Massachusetts Ave,42.349851,-71.089166,$$$$$,american-new,0,0.208,yellow
Atasca,/restaurants/atasca/,50 Hampshire St,42.367037,-71.092856,$$,portuguese,0,0.042,red
Athan's European Bakery,/restaurants/athans-european-bakery-2/,1621 Beacon St,42.339297,-71.135297,$,"mediterranean', 'sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.776,green
Athan's European Bakery,/restaurants/athans-european-bakery/,403 Washington St,42.349097,-71.154997,$,"mediterranean', 'sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.318,green
Atlantic Beer Garden,/restaurants/atlantic-beer-garden/,146 Northern Ave,42.350535,-71.043242,$$$,"american-traditional', 'fish-chips",0,0.12,yellow
Atlantic Fish Company,/restaurants/atlantic-fish-company/,761 Boylston St,42.34913,-71.081142,$$$$,"seafood', 'new-england",0,0.134,yellow
Atomic Bean Cafe,/restaurants/atomic-bean-cafe/,904 Massachusetts Ave,42.368317,-71.108776,$,cafes-coffeehouses,0,0.086,yellow
Atwood's Tavern,/restaurants/atwoods-tavern/,877 Cambridge St,42.372557,-71.091716,$$$,"american-new', 'gastropub",0,0.144,yellow
Au Bon Pain,/restaurants/au-bon-pain/,431 Boylston St,42.351299,-71.073043,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.946,green
Au Bon Pain,/restaurants/au-bon-pain-26/,800 Washington St,42.349509,-71.063164,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-17/,684 Massachusetts Ave,42.365797,-71.104546,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-3/,800 Boylston St,42.348785,-71.082408,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-29/,209 Cambridge St,42.36138,-71.066562,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-28/,1 Joslin Pl,42.33864,-71.1083,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-25/,640 Atlantic Ave,42.352492,-71.055486,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-19/,369 Huntington Ave,42.340027,-71.09007,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.976,green
Au Bon Pain,/restaurants/au-bon-pain-13/,75 Francis St,42.338814,-71.116454,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-21/,1100 Massachusetts Ave,42.370467,-71.11374,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-4/,26 Park Plz,42.350897,-71.067829,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-15/,238 Main St,42.362297,-71.084796,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-22/,18-48 Holland St,42.3975,-71.1235,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-11/,340 Longwood Ave,42.338171,-71.106228,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.936,green
Au Bon Pain,/restaurants/au-bon-pain-27/,1 Design Center Pl,42.3439,-71.034298,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-20/,100 Huntington Ave,42.347148,-71.078376,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-12/,101 Merrimac St,42.363853,-71.061701,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-23/,300 Longwood Ave,42.337369,-71.10535,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-24/,47 Commercial St,42.366394,-71.076131,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-9/,1 International Pl,42.357244,-71.056223,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain,/restaurants/au-bon-pain-18/,1360 Massachussetts Ave,42.372953,-71.118635,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,0.974,green
Au Bon Pain ,/restaurants/au-bon-pain-harvard-vanguard/,300 Longwood Ave,42.337369,-71.10535,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-kiosk/,53 State St,42.358736,-71.056232,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-10/,53 State St,42.358897,-71.056652,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-kiosk-2/,1 Design Center Pl,42.3439,-71.034298,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-milk-bottle/,300 Congress St,42.352541,-71.052268,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-terminal-a/,1 Harborside Dr,42.363179,-71.024374,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-terminal-b/,1 Harborside Dr,42.365613,-71.00956,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-terminal-c-kiosk/,1 Harborside Dr,42.363179,-71.024374,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Au Bon Pain ,/restaurants/au-bon-pain-terminal-c/,1 Harborside Dr,42.365613,-71.00956,$,"sandwiches', 'bakeries', 'cafes-coffeehouses",1,1,green
Audubon,/restaurants/audobon/,838 Beacon St,42.347459,-71.10323,$$$,american-new,0,0.054,yellow
Aura,/restaurants/aura/,1 Seaport Ln,42.349241,-71.041775,$$$$$,"seafood', 'american-new",0,0.178,yellow
Aurum,/restaurants/aurum/,377 Centre St,42.322331,-71.109111,$$,"american-new', 'smoothies-juice-bar', 'vegetarian-friendly",1,0.42,green
Avana Sushi,/restaurants/avana-sushi/,42 Beach St,42.351107,-71.060986,$$,"japanese', 'sushi",0,0.05,yellow
Avenue One,/restaurants/avenue-one/,1 Avenue De Lafayette,42.349089,-71.060177,$$$$$,american-new,0,0.016,red
Avery Bar,/restaurants/avery-bar/,10 Avery St,42.353259,-71.063147,$$$$,"mediterranean', 'small-plates-tapas', 'cocktails",0,0.048,yellow
Avery Provision Co.,/restaurants/avery-provision-co/,571 Washington St,42.353548,-71.062553,$$,"delis', 'sandwiches', 'sushi",1,0.552,green
Azama Grill,/restaurants/azama-grill/,54 Harvard Ave,42.354283,-71.132826,$,middle-eastern,0,0.082,yellow
B&G Oysters,/restaurants/b-g-oysters/,550 Tremont St,42.343997,-71.071695,$$$$$,"seafood', 'new-england",0,0.06,yellow
b.good,/restaurants/bgood-5/,137 Massachusetts Ave,42.347009,-71.087611,$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.966,green
b.good,/restaurants/bgood-6/,255 Washington St,42.357884,-71.058018,$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.966,green
b.good,/restaurants/bgood/,131 Dartmouth St,42.347607,-71.07625,$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.408,green
b.good,/restaurants/bgood-2/,24 Dunster St,42.372649,-71.119285,$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.966,green
b.good,/restaurants/bgood-8/,655 Boylston St,42.350079,-71.07861,$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.966,green
b.good,/restaurants/bgood-7/,84 Summer St,42.353859,-71.058087,$$,"health-food', 'burgers', 'sandwiches', 'local-organic",1,0.748,green
Ba Co Banh Mi,/restaurants/ba-co-banh-mi/,1095 Commonwealth Ave,42.352744,-71.125447,$$,"vietnamese', 'sandwiches",1,0.726,green
Bab Al-Amoud ,/restaurants/bab-al-amoud/,148-150 Western Ave,42.364795,-71.108775,$$,middle-eastern,0,0.216,yellow
Bacco,/restaurants/bacco/,107 Salem St,42.364197,-71.055795,$$$$,italian,0,0.058,yellow
Back Bay Harry's,/restaurants/back-bay-harrys/,142 Berkeley St,42.3489,-71.07209,$$$$$,american-traditional,0,0.036,red
Back Bay Sandwich,/restaurants/back-bay-sandwich/,31 St James Ave,42.350711,-71.071619,$,sandwiches,1,0.896,green
Back Bay Social Club,/restaurants/back-bay-social-club/,867 Boylston St,42.348506,-71.083441,$$$$,"american-new', 'gastropub",0,0.052,yellow
Back Deck Grill,/restaurants/back-deck-grill/,2 West St,42.354366,-71.061704,$$$$,"barbecue', 'american-new",0,0.094,yellow
backbar,/restaurants/backbar/,9 Sanborn Ct,42.379646,-71.094879,$$,"bar-food', 'gastropub', 'cocktails",0,0.046,red
Bagel Rising,/restaurants/bagel-rising-3/,736 Commonwealth Ave,42.349697,-71.106596,$,"bagels', 'cafes-coffeehouses",0,0.234,yellow
Bagelsaurus,/restaurants/bagelsaurus/,1796 Massachusetts Ave,42.386029,-71.119558,$,"bagels', 'sandwiches",1,0.76,green
Bailey & Sage,/restaurants/bailey-sage/,5 Cambridge Ctr,42.36271,-71.087272,$$,"sandwiches', 'salads', 'vegetarian-friendly', 'vegan",1,0.574,green
Bailey and Sage,/restaurants/bailey-and-sage/,103 State St,42.359108,-71.055326,$$,"salads', 'sandwiches', 'vegetarian-friendly', 'vegan",1,0.858,green
Baja Betty's Burritos,/restaurants/baja-bettys-burritos/,3 Harvard Sq,42.332947,-71.118896,$,mexican,0,0.052,yellow
Baja Taco Truck,/restaurants/baja-taco-truck/,Location Varies,42.350096,-71.106968,$,mexican,0,0.014,red
Bambara Kitchen & Bar,/restaurants/bambara/,25 Edwin H Land Blvd,42.367231,-71.075275,$$$$$,"american-new', 'cocktails",0,0.07,yellow
Bamboo,/restaurants/bamboo/,1616 Commonwealth Ave,42.343342,-71.143142,$$,thai,0,0.09,yellow
Bangkok Bistro,/restaurants/bangkok-bistro-2/,433 Washington St,42.34929,-71.156815,$$,thai,0,0.036,red
Bangkok Blue,/restaurants/bangkok-blue/,651 Boylston St,42.349882,-71.078383,$$,thai,0,0.166,yellow
Bangkok Express,/restaurants/bangkok-express/,1 Faneuil Hall Marketplace,42.360455,-71.054474,$$,thai,0,0.094,yellow
Banh Mi House,/restaurants/banh-mi-house/,48 Winter St,42.356081,-71.061843,$,"vietnamese', 'sandwiches",1,0.724,green
Bao Nation,/restaurants/bao-nation/,575 Massachusetts Ave,42.365013,-71.102406,$,"chinese', 'sandwiches",1,0.678,green
Bar 10 ,/restaurants/bar-10/,10 Huntington Ave,42.348768,-71.077631,$$$$,"mediterranean', 'american-new', 'cocktails",0,0.02,red
Bar Boulud,/restaurants/bar-boulud/,776 Boylston St,42.348498,-71.082368,$$$$$,"french', 'bistro",0,0.046,red
Bar Lola,/restaurants/bar-lola/,160 Commonwealth Ave,42.351627,-71.078502,$$,"spanish', 'small-plates-tapas",0,0.068,yellow
Bar Louie,/restaurants/bar-louie/,121 Brookline Ave,42.345921,-71.100648,$$,"american-new', 'bar-food",0,0.056,yellow
Baraka Cafe,/restaurants/baraka-cafe/,80 1/2 Pearl St,42.362922,-71.104734,$$$,"african', 'small-plates-tapas', 'moroccan",0,0.08,yellow
Barcelona Wine Bar,/restaurants/barcelona-wine-bar/,1700 Beacon St,42.338827,-71.138816,$$,"spanish', 'small-plates-tapas', 'wine-bar",0,0.052,yellow
Barking Crab,/restaurants/barking-crab/,88 Sleeper St,42.353772,-71.048742,$$$$,"seafood', 'new-england",0,0.044,red
Barlow's,/restaurants/barlows/,241 A Street,42.347015,-71.051263,$$$,"american-new', 'cocktails",0,0.102,yellow
Barney Fanning's,/restaurants/barney-fannings/,99 Broad St,42.357358,-71.052637,$$,bar-food,0,0.078,yellow
Barracuda Tavern,/restaurants/barracuda-tavern/,15 Bosworth St,42.357279,-71.061038,$$$,"american-traditional', 'seafood', 'small-plates-tapas",0,0.052,yellow
Barrington Coffee,/restaurants/barrington-coffee/,346 Congress St,42.350824,-71.048843,$,"cafes-coffeehouses', 'teahouses",0,0.06,yellow
Baseball Tavern,/restaurants/baseball-tavern/,1270 Boylston St,42.345116,-71.095882,$$,american-traditional,0,0.046,red
Basha Cafe ,/restaurants/basha-cafe-2/,26 New St,42.387981,-71.140589,$$$,middle-eastern,0,0.05,yellow
Basho,/restaurants/basho/,1338 Boylston St,42.344159,-71.099561,$$$$,"japanese', 'sushi",0,0.06,yellow
